experiment_name,precision,recall,mAP50,mAP50-95,training_time_ms,eval_time_ms
vz-4213948446,0.988000,0.941800,0.974620,0.616130,1200944,4830
vz-4213948446,0.981180,0.936170,0.982000,0.606310,1213097,4929
vz-4213948446,0.957500,0.957670,0.969220,0.596230,1224052,4886
vz-4213948446,0.964010,0.931220,0.971430,0.598080,1223328,5245
vz-4213948446,0.964140,0.936510,0.963140,0.606020,1160586,5046
vz-4213948446,0.967520,0.945640,0.952600,0.585050,1154490,5125
vz-4213948446,0.964720,0.962770,0.976610,0.611940,1189569,5154
vz-4213948446,0.956900,0.939840,0.961790,0.621030,1218671,5171
vz-4213948446,0.947600,0.936510,0.952600,0.597910,1210767,4997
vz-4213948446,0.961950,0.936380,0.978930,0.611910,1215379,4939
vz-4213948446,0.972020,0.919090,0.956070,0.587180,1161860,5021
vz-4213948446,0.957530,0.959340,0.973860,0.605270,1230405,6631
vz-4213948446,0.983590,0.951250,0.968600,0.605900,1146524,4982
vz-4213948446,0.975260,0.957670,0.982310,0.609180,1176173,4795
vz-4213948446,0.949220,0.941800,0.967960,0.584060,1204064,5094
vz-4213948446,0.956070,0.921170,0.961300,0.605840,1206620,4891
vz-4213948446,0.960860,0.930850,0.958920,0.601340,1194827,4959
vz-4213948446,0.973610,0.976110,0.990780,0.613810,1164731,5168
vz-4213948446,0.961780,0.932080,0.971060,0.616380,1188364,5004
vz-4213948446,0.966660,0.920430,0.945250,0.555000,1239168,6669
vz-4213948446,0.962780,0.915340,0.949630,0.587740,1240254,4789
vz-4213948446,0.981600,0.973400,0.978030,0.621470,1223996,4736
vz-1521997286,0.971870,0.984130,0.993260,0.635540,1282547,6039
vz-1521997286,0.939680,0.906680,0.935360,0.580660,1207666,4777
vz-1521997286,0.954410,0.941800,0.969780,0.597450,1209499,4967
vz-1521997286,0.971940,0.947090,0.967200,0.598340,1170515,4553
vz-1521997286,0.988610,0.930850,0.965820,0.621400,1173924,4907
vz-1521997286,0.964640,0.947090,0.972800,0.583440,1201056,5022
vz-1521997286,0.967880,0.956470,0.971490,0.609720,1210321,5023
vz-1521997286,0.969010,0.925930,0.963740,0.605290,1223600,4919
vz-1521997286,0.951170,0.927510,0.959170,0.599780,1197234,5014
vz-1521997286,0.978370,0.962460,0.982900,0.632080,1185578,4712
vz-1521997286,0.941630,0.920630,0.960470,0.605280,1216252,4952
vz-1521997286,0.963880,0.925930,0.947580,0.618780,1235472,4877
vz-1521997286,0.973600,0.975730,0.991500,0.636750,1228435,4792
vz-1521997286,0.956360,0.927680,0.965770,0.596520,1252219,5018
vz-1521997286,0.977460,0.957450,0.974160,0.612290,1227637,5351
vz-1521997286,0.994270,0.941800,0.968330,0.625340,1223919,4875
vz-1521997286,0.982830,0.973540,0.986180,0.604680,1219469,4938
vz-1521997286,0.960220,0.952380,0.961930,0.591850,1190136,5112
vz-1521997286,0.958390,0.910050,0.967380,0.609160,1162468,4959
vz-1521997286,0.937330,0.925530,0.952190,0.610900,1165180,4950
vz-1521997286,0.977280,0.952380,0.983710,0.610880,1219144,5269
vz-1521997286,0.978240,0.951330,0.979800,0.633740,1231970,5004
vz-1521997286,0.961560,0.926550,0.947860,0.583010,1254936,4835
vz-1521997286,0.961570,0.926850,0.951980,0.577450,1206633,4943
vz-1521997286,0.975620,0.952130,0.970910,0.595900,1225165,4940
ir-3754523883,0.975840,0.978840,0.984970,0.627140,1371745,4681
ir-3754523883,0.965560,0.890110,0.939410,0.580440,1196519,4802
ir-3754523883,0.953080,0.925930,0.964380,0.588280,1173617,4954
ir-3754523883,0.994400,0.939020,0.977110,0.601470,1176231,4793
ir-3754523883,0.961290,0.962770,0.978470,0.617090,1195856,4677
ir-3754523883,0.972710,0.942820,0.977950,0.600940,1185463,4672
ir-3754523883,0.946070,0.928200,0.953510,0.586320,1147990,4691
ir-3754523883,0.960210,0.947090,0.966590,0.591500,1144560,4684
ir-3754523883,0.963670,0.931220,0.968650,0.608600,1186941,4894
ir-3754523883,0.995390,0.957450,0.985290,0.626750,1258500,4720
ir-3754523883,0.956560,0.932050,0.949980,0.588150,1226624,4730
ir-3754523883,0.972200,0.925290,0.961920,0.612030,1178402,4705
ir-3754523883,0.978470,0.961840,0.981900,0.611610,1171006,4623
ir-3754523883,0.966090,0.947090,0.967750,0.601100,1242941,4779
ir-3754523883,0.976580,0.952130,0.974380,0.607050,1195033,4658
ir-3754523883,0.989020,0.953350,0.982300,0.617490,1177756,4715
ir-3754523883,0.979420,0.947090,0.972270,0.599630,1152311,4797
ir-3754523883,0.958020,0.952380,0.965110,0.573630,1173722,4804
ir-3754523883,0.950650,0.925930,0.960440,0.601630,1164141,4649
ir-3754523883,0.971910,0.920110,0.959320,0.603340,1187360,4609
ir-3754523883,0.962500,0.950660,0.988870,0.610020,1137614,4685
ir-3754523883,0.949570,0.947090,0.976050,0.642730,1119500,4707
ir-3754523883,0.969290,0.936510,0.944860,0.580290,1148279,5042
ir-3754523883,0.972270,0.927600,0.966670,0.609440,1148923,4698
